1,Apple,Intel Core i5 2.3GHz
2,Apple,Intel Core i5 1.8GHz
3,HP,Intel Core i5 7200U 2.5GHz
4,Apple,Intel Core i7 2.7GHz
5,Apple,Intel Core i5 3.1GHz
6,Acer,AMD A9-Series 9420 3GHz
7,Apple,Intel Core i7 2.2GHz
8,Apple,Intel Core i5 1.8GHz
9,Asus,Intel Core i7 8550U 1.8GHz
10,Acer,Intel Core i5 8250U 1.6GHz
11,HP,Intel Core i5 7200U 2.5GHz
12,HP,Intel Core i3 6006U 2GHz
13,Apple,Intel Core i7 2.8GHz
14,Dell,Intel Core i3 6006U 2GHz
15,Apple,Intel Core M m3 1.2GHz
16,Apple,Intel Core i5 2.3GHz
17,Dell,Intel Core i7 7500U 2.7GHz
18,Apple,Intel Core i7 2.9GHz
19,Lenovo,Intel Core i3 7100U 2.4GHz
20,Dell,Intel Core i5 8250U 1.6GHz
21,Asus,Intel Atom x5-Z8350 1.44GHz
22,Lenovo,Intel Core i5 7300HQ 2.5GHz
23,HP,AMD E-Series E2-9000e 1.5GHz
24,Dell,Intel Core i5 8250U 1.6GHz
25,HP,Intel Core i7 8550U 1.8GHz
26,Dell,Intel Core i3 6006U 2GHz
27,Apple,Intel Core i5 1.6GHz
28,Dell,Intel Core i5 8250U 1.6GHz
29,Dell,Intel Core i7 8650U 1.9GHz
30,HP,Intel Core i5 8250U 1.6GHz
31,Chuwi,Intel Atom x5-Z8300 1.44GHz
32,Asus,AMD E-Series E2-6110 1.5GHz
33,HP,AMD A6-Series 9220 2.5GHz
34,Dell,Intel Core i7 8550U 1.8GHz
35,Apple,Intel Core i5 1.6GHz
36,Lenovo,Intel Celeron Dual Core N3350 1.1GHz
37,Acer,Intel Core i3 7130U 2.7GHz
38,Dell,Intel Core i5 8250U 1.6GHz
39,HP,Intel Core i5 7200U 2.5GHz
40,HP,Intel Core i5 8250U 1.6GHz
41,Asus,Intel Core i3 6006U 2GHz
42,Dell,Intel Core i7 7700HQ 2.8GHz
43,Asus,Intel Core i5 7200U 2.5GHz
44,Acer,Intel Core i5 8250U 1.6GHz
45,Dell,Intel Core i5 8250U 1.6GHz
46,Apple,Intel Core i5 2.0GHz
47,Lenovo,Intel Core i3 6006U 2GHz
48,Asus,AMD Ryzen 1700 3GHz
49,Dell,Intel Core i5 7200U 2.5GHz
50,Asus,Intel Pentium Quad Core N4200 1.1GHz
51,Lenovo,Intel Atom x5-Z8550 1.44GHz
52,Acer,Intel Core i7 8550U 1.8GHz
53,HP,AMD A6-Series 9220 2.5GHz
54,HP,Intel Core i7 8550U 1.8GHz
55,Acer,Intel Core i3 7100U 2.4GHz
56,Dell,Intel Core i7 8550U 1.8GHz
57,HP,Intel Core i3 6006U 2GHz
58,Asus,Intel Core i5 7200U 2.5GHz
59,MSI,Intel Core i7 7700HQ 2.8GHz
60,Asus,Intel Core i3 6006U 2GHz
61,Dell,Intel Core i7 8550U 1.8GHz
62,Dell,Intel Core i5 8250U 1.6GHz
63,Lenovo,Intel Core i3 7130U 2.7GHz
64,Asus,Intel Core i5 8250U 1.6GHz
66,HP,Intel Core i5 7200U 2.5GHz
67,Asus,Intel Core i7 7700HQ 2.8GHz
68,HP,Intel Core i3 6006U 2GHz
69,HP,Intel Celeron Dual Core N3060 1.6GHz
70,Lenovo,Intel Core i5 7200U 2.5GHz
71,Asus,Intel Core i7 7700HQ 2.8GHz
72,Microsoft,Intel Core i5 7200U 2.5GHz
73,Dell,Intel Core i7 8550U 1.8GHz
74,Dell,Intel Core i7 8550U 1.8GHz
75,MSI,Intel Core i5 7300HQ 2.5GHz
76,Acer,Intel Core i3 6006U 2GHz
77,Asus,Intel Core i7 7700HQ 2.8GHz
78,Lenovo,Intel Core i5 7200U 2.5GHz
79,Dell,Intel Core i7 8550U 1.8GHz
80,Acer,Intel Core i3 7130U 2.7GHz
81,HP,Intel Core i5 8250U 1.6GHz
